permutation|time
(0, 3, 2, 4, 1)|0:00:24.592999
(0, 3, 2, 4, 1)|0:00:24.279113
(0, 3, 2, 4, 1)|0:00:24.263999
(0, 3, 2, 4, 1)|0:00:24.233999
(0, 3, 2, 4, 1)|0:00:24.259001
(0, 3, 2, 4, 1)|0:00:24.176000
(0, 3, 2, 4, 1)|0:00:24.298000
(0, 3, 2, 4, 1)|0:00:24.313946
(0, 3, 2, 4, 1)|0:00:24.370998
(0, 3, 2, 4, 1)|0:00:24.271999
(0, 3, 2, 4, 1)|0:00:24.187463
(0, 3, 2, 4, 1)|0:00:24.254999
(0, 3, 4, 1, 2)|0:00:24.224000
(0, 3, 4, 1, 2)|0:00:24.228001
(0, 3, 4, 1, 2)|0:00:24.349001
(0, 3, 4, 1, 2)|0:00:24.292264
(0, 3, 4, 1, 2)|0:00:24.331026
(0, 3, 4, 1, 2)|0:00:24.287001
(0, 3, 4, 1, 2)|0:00:24.283535
(0, 3, 4, 1, 2)|0:00:24.205000
(0, 3, 4, 1, 2)|0:00:24.168228
(0, 3, 4, 1, 2)|0:00:24.344001
(0, 3, 4, 1, 2)|0:00:24.152000
(0, 3, 4, 1, 2)|0:00:24.346509
(0, 3, 4, 1, 2)|0:00:24.263999
(0, 3, 4, 1, 2)|0:00:24.223999
(0, 3, 4, 1, 2)|0:00:24.188999
(0, 3, 4, 1, 2)|0:00:24.211028
(0, 3, 4, 1, 2)|0:00:24.276022
(0, 3, 4, 1, 2)|0:00:24.048508
(0, 3, 4, 1, 2)|0:00:24.121998
(0, 3, 4, 1, 2)|0:00:24.208022
(0, 3, 4, 2, 1)|0:00:24.046605
(0, 3, 4, 2, 1)|0:00:24.120000
(0, 3, 4, 2, 1)|0:00:24.068001
(0, 3, 4, 2, 1)|0:00:24.035062
(0, 3, 4, 2, 1)|0:00:24.177000
(0, 3, 4, 2, 1)|0:00:24.156001
(0, 3, 4, 2, 1)|0:00:24.269028
(0, 3, 4, 2, 1)|0:00:24.233001
(0, 3, 4, 2, 1)|0:00:24.280026
(0, 3, 4, 2, 1)|0:00:24.318000
(0, 3, 4, 2, 1)|0:00:24.167539
(0, 3, 4, 2, 1)|0:00:24.291001
(0, 3, 4, 2, 1)|0:00:24.428000
(0, 3, 4, 2, 1)|0:00:24.212999
(0, 3, 4, 2, 1)|0:00:24.269998
(0, 3, 4, 2, 1)|0:00:24.194999
(0, 3, 4, 2, 1)|0:00:24.216998
(0, 3, 4, 2, 1)|0:00:24.185511
(0, 3, 4, 2, 1)|0:00:24.217998
(0, 3, 4, 2, 1)|0:00:24.275513
(0, 4, 1, 2, 3)|0:00:23.615098
(0, 4, 1, 2, 3)|0:00:23.603016
(0, 4, 1, 2, 3)|0:00:23.544982
(0, 4, 1, 2, 3)|0:00:23.557001
(0, 4, 1, 2, 3)|0:00:23.650013
(0, 4, 1, 2, 3)|0:00:23.503017
(0, 4, 1, 2, 3)|0:00:23.702132
(0, 4, 1, 2, 3)|0:00:23.488000
(0, 4, 1, 2, 3)|0:00:23.539000
(0, 4, 1, 2, 3)|0:00:23.720513
(0, 4, 1, 2, 3)|0:00:23.487113
(0, 4, 1, 2, 3)|0:00:23.679998
(0, 4, 1, 2, 3)|0:00:23.508026
(0, 4, 1, 2, 3)|0:00:23.655002
(0, 4, 1, 2, 3)|0:00:23.757000
(0, 4, 1, 2, 3)|0:00:23.717001
(0, 4, 1, 2, 3)|0:00:23.652999
(0, 4, 1, 2, 3)|0:00:23.606000
(0, 4, 1, 2, 3)|0:00:23.494000
(0, 4, 1, 2, 3)|0:00:23.637000
